"","ID","variable","value"
"127",3791371720858,"x",0.0036633336
"128",3791381753410,"x",0.02075889
"129",3791401337264,"x",0.04396
"130",3791411420597,"x",0.03052778
"131",3791421367160,"x",0.02075889
"132",3791431746639,"x",0.012211111
"133",3791441668931,"x",-0.007326667
"134",3791451196274,"x",-0.012211111
"135",3791464141274,"x",0
"136",3791471102993,"x",0.017095556
"137",3791481372681,"x",0.035412222
"138",3791490851743,"x",0.04151778
"139",3791500683670,"x",0.03052778
"140",3791510909399,"x",0.012211111
"141",3791520838410,"x",-0.0048844446
"142",3791530768410,"x",0.0024422223
"143",3791540698722,"x",0.03052778
"144",3791550419712,"x",0.045181114
"145",3791563167889,"x",0.04029667
"146",3791570083045,"x",0.02075889
"147",3791580429920,"x",0.009768889
"148",3791590133306,"x",0.015874445
"149",3791600064504,"x",0.03174889
"150",3791610114035,"x",0.029306669
"151",3791619710181,"x",0.012211111
"152",3791630069503,"x",0.0048844446
"153",3791639591483,"x",0.008547778
"154",3791649923931,"x",0.02075889
"155",3791662936535,"x",0.04029667
"156",3791669384243,"x",0.047623336
"157",3791679790753,"x",0.03174889
"158",3791689655545,"x",0.012211111
"159",3791699375701,"x",0.0048844446
"160",3791709123201,"x",0.02198
"161",3791719262368,"x",0.04029667
"162",3791729197941,"x",0.045181114
"163",3791739305753,"x",0.035412222
"164",3791749368045,"x",0.014653334
"165",3791761964868,"x",-0.0012211112
"166",3791769111378,"x",-0.0036633336
"167",3791778932733,"x",-0.0012211112
"168",3791788714503,"x",-0.0036633336
"169",3791798454503,"x",-0.008547778
"170",3791809072368,"x",-0.0024422223
"171",3791818801326,"x",0.015874445
"172",3791829722472,"x",0.025643334
"173",3791838443566,"x",0.029306669
"174",3791848241014,"x",0.017095556
"175",3791861663618,"x",0.01099
"176",3791868217837,"x",0.0048844446
"177",3791878341066,"x",0.0012211112
"178",3791888274399,"x",-0.0024422223
"179",3791898202420,"x",0.007326667
"180",3791908273358,"x",0.015874445
"181",3791917938826,"x",0.026864445
"182",3791927548358,"x",0.02075889
"183",3791937732055,"x",0.0024422223
"184",3791947835753,"x",0.01099
"185",3791960385180,"x",0.024422223
"186",3791967296430,"x",0.03297
"187",3791977619035,"x",0.025643334
"188",3791987569920,"x",0.017095556
"189",3791997903462,"x",0.036633335
"190",3792007079087,"x",0.037854444
"191",3792017006274,"x",0.03174889
"192",3792027077160,"x",0.02198
"193",3792036937576,"x",0.009768889
"194",3792047093305,"x",0.0061055557
"195",3792059780232,"x",0.0024422223
"196",3792066692993,"x",0.0012211112
"197",3792076910597,"x",0.023201112
"198",3792086917264,"x",0.03052778
"199",3792096768982,"x",0.03174889
"200",3792106691170,"x",0.019537779
"201",3792116630701,"x",0.007326667
"202",3792126540857,"x",0.0036633336
"203",3792136469920,"x",0.0036633336
"204",3792146417889,"x",0.009768889
"205",3792158962628,"x",0.028085556
"206",3792166382628,"x",0.039075557
"207",3792176210076,"x",0.028085556
"208",3792186122941,"x",0.008547778
"209",3792196077837,"x",0.0024422223
"210",3792205998097,"x",0
"211",3792215925805,"x",0.012211111
"212",3792225852941,"x",0.03174889
"213",3792235782420,"x",0.05006556
"214",3792245652264,"x",0.05250778
"215",3792258226014,"x",0.04396
"216",3792265270180,"x",0.01099
"217",3792275166118,"x",-0.0036633336
"218",3792284980284,"x",0.0012211112
"219",3792295070337,"x",0.018316668
"220",3792304914243,"x",0.029306669
"221",3792315502889,"x",0.03052778
"222",3792324823514,"x",0.018316668
"223",3792334690284,"x",0.01099
"224",3792344779191,"x",0.0024422223
"225",3792357846482,"x",-0.0012211112
"226",3792364475389,"x",-0.0012211112
"227",3792374623357,"x",0
"228",3792384616170,"x",0.009768889
"229",3792394325337,"x",0.026864445
"230",3792404470180,"x",0.04151778
"231",3792414277159,"x",0.04029667
"232",3792424031482,"x",0.023201112
"233",3792434393618,"x",0.007326667
"234",3792444416534,"x",0.013432222
"235",3792457115441,"x",0.04396
"236",3792463765701,"x",0.059834447
"237",3792474106534,"x",0.054950003
"238",3792484034764,"x",0.04029667
"239",3792493956378,"x",0.026864445
"240",3792504097107,"x",0.007326667
"241",3792513390180,"x",-0.0012211112
"242",3792523741066,"x",0.0061055557
"243",3792533443305,"x",0.028085556
"244",3792543594347,"x",0.034191113
"245",3792556145232,"x",0.025643334
"246",3792563266222,"x",0.012211111
"247",3792573243982,"x",0.009768889
"248",3792583248357,"x",0.026864445
"249",3792593222941,"x",0.04151778
"250",3792603255649,"x",0.046402223
"251",3792612947420,"x",0.051286668
"252",3792622998930,"x",0.045181114
"253",3792632933878,"x",0.047623336
"254",3792642876847,"x",0.039075557
"255",3792655274034,"x",0.009768889
"256",3792662294243,"x",-0.0024422223
"257",3792672311378,"x",0.0061055557
"258",3792682576795,"x",0.023201112
"259",3792692096951,"x",0.047623336
"260",3792702069816,"x",0.04029667
"261",3792712090076,"x",0.02198
"262",3792731917993,"x",-0.014653334
"263",3792724655024,"x",-0.0012211112
"264",3792742334503,"x",-0.0048844446
"265",3792754661170,"x",0.015874445
"266",3792761646795,"x",0.029306669
"267",3792771690805,"x",0.023201112
"268",3792781926222,"x",0.009768889
"269",3792791712368,"x",0.009768889
"270",3792801309816,"x",0.028085556
"271",3792811916899,"x",0.047623336
"272",3792821596899,"x",0.059834447
"273",3792831524191,"x",0.051286668
"274",3792841066378,"x",0.03297
"275",3792854088618,"x",0.01099
"276",3792861170336,"x",0.0048844446
"277",3792870921847,"x",0.02198
"278",3792881164451,"x",0.048844445
"279",3792891087628,"x",0.054950003
"280",3792901014503,"x",0.03174889
"281",3792910956118,"x",0.017095556
"282",3792920880076,"x",0.013432222
"283",3792930802628,"x",0.012211111
"284",3792940752472,"x",0.03052778
"285",3792953452680,"x",0.042738892
"286",3792960890232,"x",0.04029667
"287",3792970418982,"x",0.047623336
"288",3792980431430,"x",0.03174889
"289",3792990372628,"x",0.02198
"290",3793000167940,"x",0.024422223
"291",3793010379190,"x",0.025643334
"292",3793019734503,"x",0.039075557
"293",3793030074815,"x",0.03052778
"294",3793039593826,"x",0.012211111
"295",3793052558513,"x",-0.0012211112
"296",3793059461534,"x",-0.013432222
"297",3793069537784,"x",-0.007326667
"298",3793079746013,"x",-0.0024422223
"299",3793089670128,"x",0.024422223
"300",3793099268565,"x",0.029306669
"301",3793109114920,"x",0.03052778
"302",3793119450701,"x",0.025643334
"303",3793129389190,"x",0.036633335
"304",3793139140909,"x",0.047623336
"305",3793151933461,"x",0.034191113
"306",3793158793513,"x",0.018316668
"307",3793168716378,"x",0.0061055557
"308",3793178694920,"x",0.017095556
"309",3793188669190,"x",0.039075557
"310",3793198758826,"x",0.04396
"311",3793208528774,"x",0.035412222
"312",3793218765128,"x",0.018316668
"313",3793228701274,"x",0.009768889
"314",3793238619451,"x",0.017095556
"315",3793251314972,"x",0.028085556
"316",3793258899295,"x",0.029306669
"317",3793268186378,"x",0.029306669
"318",3793278328357,"x",0.03297
"319",3793288065440,"x",0.024422223
"320",3793298199711,"x",0.017095556
"321",3793308119138,"x",0.019537779
"322",3793318056534,"x",0.028085556
"323",3793327825857,"x",0.03052778
"324",3793337515857,"x",0.017095556
"325",3793350468774,"x",0.0061055557
"326",3793357755961,"x",0.015874445
"327",3793367264711,"x",0.018316668
"328",3793377613149,"x",0.014653334
"329",3793387553669,"x",0.018316668
"330",3793397478253,"x",0.026864445
"331",3793407214294,"x",0.02075889
"332",3793417129190,"x",0.007326667
"333",3793427028305,"x",0.0036633336
"334",3793437163097,"x",0.017095556
"335",3793449730597,"x",0.034191113
"336",3793456815857,"x",0.048844445
"337",3793466817419,"x",0.046402223
"338",3793476457524,"x",0.03297
"339",3793486802888,"x",0.02075889
"340",3793496724034,"x",0.018316668
"341",3793506666065,"x",0.02075889
"342",3793516170544,"x",0.019537779
"343",3793526545180,"x",0.03174889
"344",3793536434763,"x",0.028085556
"345",3793549003357,"x",0.019537779
"346",3793556218878,"x",0.025643334
"347",3793565941013,"x",0.034191113
"348",3793575761221,"x",0.034191113
"349",3793585662107,"x",0.023201112
"350",3793595618201,"x",0.015874445
"351",3793605627211,"x",0.02075889
"352",3793615594711,"x",0.028085556
"353",3793625378357,"x",0.02198
"354",3793635296690,"x",0.02198
"355",3793647942159,"x",0.025643334
"356",3793655214242,"x",0.013432222
"357",3793665113982,"x",0.013432222
"358",3793675040596,"x",0.007326667
"359",3793685309190,"x",0.018316668
"360",3793694882732,"x",0.023201112
"361",3793705306482,"x",0.017095556
"362",3793714995180,"x",0.0012211112
"363",3793724599346,"x",-0.0061055557
"364",3793734666169,"x",-0.007326667
"365",3793747560857,"x",0.0024422223
"366",3793754615128,"x",0
"367",3793764871430,"x",0.013432222
"368",3793774690596,"x",0.03297
"369",3793784603930,"x",0.046402223
"370",3793794628513,"x",0.042738892
"371",3793804456586,"x",0.023201112
"372",3793814385440,"x",0.01099
"373",3793824424242,"x",0.02075889
"374",3793834294919,"x",0.03174889
"375",3793846880492,"x",0.029306669
"376",3793853940805,"x",-0.0024422223
"377",3793863866065,"x",-0.024422223
"378",3793873718826,"x",-0.023201112
"379",3793883848721,"x",-0.014653334
"380",3793893539503,"x",-0.008547778
"381",3793903727732,"x",0.0024422223
"382",3793913599711,"x",0.012211111
"383",3793923324763,"x",0.013432222
"384",3793933502211,"x",0.02198
"385",3793946027107,"x",0.023201112
"386",3793953016638,"x",0.014653334
"387",3793963442315,"x",0.012211111
"388",3793972835492,"x",0.007326667
"389",3793984530492,"x",0.013432222
"390",3794012623930,"x",0.0024422223
"391",3793992796273,"x",0.019537779
"392",3794005127888,"x",0.014653334
"393",3794022817419,"x",0.0012211112
"394",3794032690909,"x",0.0061055557
"395",3794045196898,"x",0.02198
"396",3794052444138,"x",0.02198
"397",3794062521221,"x",0.0048844446
"398",3794072523096,"x",-0.02075889
"399",3794082031378,"x",-0.024422223
"400",3794092151794,"x",0.009768889
"401",3794102063253,"x",0.06594
"402",3794112315700,"x",0.106236674
"403",3794122162419,"x",0.10501556
"404",3794132103305,"x",0.08425667
"405",3794144689086,"x",0.04396
"406",3794151994346,"x",-0.0048844446
"407",3794161834919,"x",-0.051286668
"408",3794171604555,"x",-0.028085556
"409",3794181755128,"x",0.11356334
"410",3794191689398,"x",0.30649891
"411",3794201613565,"x",0.4371578
"412",3794211543305,"x",0.51775116
"413",3794221245023,"x",0.4713489
"414",3794231397159,"x",0.33458444
"415",3794243920961,"x",0.13432223
"416",3794250847992,"x",-0.057392225
"417",3794260846742,"x",-0.109900005
"418",3794270689034,"x",-0.015874445
"419",3794281047315,"x",0.13554333
"420",3794290974763,"x",0.25521225
"421",3794300895232,"x",0.34191114
"422",3794310918305,"x",0.30894113
"423",3794320636325,"x",0.15386
"424",3794335094138,"x",0.009768889
"425",3794360131325,"x",0.21369445
"426",3794350167523,"x",0.07326667
"427",3794344921846,"x",-0.026864445
"428",3794370072680,"x",0.29917222
"429",3794380070388,"x",0.28329778
"430",3794389967627,"x",0.20392556
"431",3794399923773,"x",0.09768889
"432",3794409746430,"x",0.036633335
"433",3794419786950,"x",0.054950003
"434",3794429909867,"x",0.14897557
"435",3794442732471,"x",0.24788557
"436",3794450103669,"x",0.25887558
"437",3794459812054,"x",0.21369445
"438",3794469613304,"x",0.1526389
"439",3794479653617,"x",0.10135223
"440",3794489586898,"x",0.054950003
"441",3794499205127,"x",0.068382226
"442",3794509324450,"x",0.14653334
"443",3794519177211,"x",0.25277
"444",3794529312002,"x",0.34069002
"445",3794541501221,"x",0.35534334
"446",3794548953669,"x",0.3052778
"447",3794558867367,"x",0.21735778
"448",3794568876586,"x",0.14042778
"449",3794578952002,"x",0.11966889
"450",3794588896742,"x",0.16485001
"451",3794598810388,"x",0.20881
"452",3794608756898,"x",0.23201112
"453",3794618252367,"x",0.21735778
"454",3794628441169,"x",0.21125223
"455",3794641152575,"x",0.19293556
"456",3794648237054,"x",0.14775445
"457",3794658301690,"x",0.08303556
"458",3794668032471,"x",-0.0024422223
"459",3794678562888,"x",-0.048844445
"460",3794688327731,"x",-0.05250778
"461",3794697697159,"x",-0.03297
"462",3794707720856,"x",-0.0036633336
"463",3794720812888,"x",-0.0012211112
"464",3794727697471,"x",0.0048844446
"465",3794740239971,"x",-0.008547778
"466",3794747309086,"x",-0.034191113
"467",3794757522836,"x",-0.04151778
"468",3794767370388,"x",-0.035412222
"469",3794777076013,"x",-0.015874445
"470",3794787408200,"x",0.012211111
"471",3794796928721,"x",0.019537779
"472",3794807285336,"x",0.029306669
"473",3794816787523,"x",0.023201112
"474",3794827121325,"x",-0.007326667
"475",3794839696950,"x",-0.07570889
"476",3794846677263,"x",-0.17095557
"477",3794856584034,"x",-0.24910668
"478",3794866759815,"x",-0.31260446
"479",3794876778929,"x",-0.35656446
"480",3794886716169,"x",-0.36755446
"481",3794896650596,"x",-0.36877558
"482",3794906570804,"x",-0.3162678
"483",3794916574919,"x",-0.23323223
"484",3794926427783,"x",-0.17828223
"485",3794939097836,"x",-0.1746189
"486",3794946082575,"x",-0.19904111
"487",3794956293669,"x",-0.24300112
"488",3794966048252,"x",-0.25277
"489",3794976081169,"x",-0.21735778
"490",3794986088669,"x",-0.15874445
"491",3794995929450,"x",-0.13188
"492",3795005453252,"x",-0.102573335
"493",3795015711221,"x",-0.058613338
"494",3795025301898,"x",-0.02198
"495",3795045161533,"x",-0.12699556
"496",3795038038513,"x",-0.045181114
"497",3795055296950,"x",-0.20881
"498",3795065534606,"x",-0.24300112
"499",3795075232575,"x",-0.19904111
"500",3795085573304,"x",-0.117226675
"501",3795095042471,"x",-0.058613338
"502",3795104918617,"x",-0.07204556
"503",3795115302940,"x",-0.106236674
"504",3795124746794,"x",-0.12089001
"505",3795138166898,"x",-0.10867889
"506",3795144734606,"x",-0.08303556
"507",3795154890075,"x",-0.07448778
"508",3795164843981,"x",-0.07693
"509",3795174363148,"x",-0.098910004
"510",3795184772523,"x",-0.12699556
"511",3795194687627,"x",-0.14164889
"512",3795204589085,"x",-0.11478445
"513",3795214110700,"x",-0.05617111
"514",3795224420075,"x",0.019537779
"515",3795237064554,"x",0.04396
"516",3795243949190,"x",0.05617111
"517",3795253956169,"x",0.07448778
"518",3795263673825,"x",0.09036223
"519",3795273715544,"x",0.08792
"520",3795283630752,"x",0.09036223
"521",3795293677627,"x",0.11478445
"522",3795303608148,"x",0.14531223
"523",3795313362471,"x",0.13676445
"524",3795323066273,"x",-0.042738892
"525",3795335916742,"x",-0.09768889
"526",3795343032783,"x",-0.09402556
"527",3795354926221,"x",-0.035412222
"528",3795362766012,"x",0.012211111
"529",3795373230440,"x",0.026864445
"530",3795402505492,"x",0.09036223
"531",3795392631377,"x",0.05250778
"532",3795385261377,"x",0.037854444
"533",3795412448356,"x",0.13188
"534",3795422621012,"x",0.15996556
"535",3795435527471,"x",0.14042778
"536",3795442417835,"x",0.09646778
"537",3795452199815,"x",0.07937223
"538",3795462212940,"x",0.11600556
"539",3795472426690,"x",0.14775445
"540",3795482341429,"x",0.14164889
"541",3795492281846,"x",0.09402556
"542",3795502210231,"x",0.05617111
"543",3795512131794,"x",0.036633335
"544",3795521851794,"x",0.05006556
"545",3795534744502,"x",0.091583334
"546",3795541491012,"x",0.15752333
"547",3795551676585,"x",0.21003112
"548",3795562061481,"x",0.21613668
"549",3795571692002,"x",0.21003112
"550",3795581496064,"x",0.20026223
"551",3795591841273,"x",0.18805112
"552",3795601069606,"x",0.18805112
"553",3795611332627,"x",0.19415668
"554",3795621612887,"x",0.19171445
"555",3795633910075,"x",0.21491556
"556",3795640824137,"x",0.2503278
"557",3795650929137,"x",0.27841336
"558",3795660692523,"x",0.24788557
"559",3795671386273,"x",0.17828223
"560",3795680530544,"x",0.070824444
"561",3795690713096,"x",0.018316668
"562",3795700522523,"x",0.047623336
"563",3795710823096,"x",0.12821667
"564",3795720376585,"x",0.2185789
"565",3795732856377,"x",0.23689556
"566",3795740329658,"x",0.21125223
"567",3795750089554,"x",0.18683001
"568",3795759950283,"x",0.20148334
"569",3795770309710,"x",0.20881
"570",3795780028408,"x",0.18927222
"571",3795790161116,"x",0.19049335
"572",3795800092471,"x",0.23689556
"573",3795809613096,"x",0.29306668
"574",3795819640491,"x",0.27963445
"575",3795832654919,"x",0.19537778
"576",3795839422523,"x",0.109900005
"577",3795849786012,"x",0.068382226
"578",3795859278929,"x",0.058613338
"579",3795869633564,"x",0.06105556
"580",3795879151116,"x",0.008547778
"581",3795889073460,"x",-0.12821667
"582",3795899356273,"x",-0.28085557
"583",3795908991116,"x",-0.3614489
"584",3795918927106,"x",-0.36755446
"585",3795931485023,"x",-0.36999667
"586",3795938864502,"x",-0.31016225
"587",3795948874658,"x",-0.23445335
"588",3795959309502,"x",-0.19171445
"589",3795968669658,"x",-0.16851334
"590",3795978671637,"x",-0.046402223
"591",3795988507679,"x",0.09280445
"592",3795998626012,"x",0.25399113
"593",3796008574554,"x",0.3492378
"594",3796018193512,"x",0.37366003
"595",3796031263721,"x",0.3809867
"596",3796038109971,"x",0.4041878
"597",3796048391689,"x",0.46158
"598",3796058354554,"x",0.5336256
"599",3796067857627,"x",0.58979666
"600",3796078317262,"x",0.6325356
"601",3796087740387,"x",0.6520734
"602",3796097764918,"x",0.6459678
"603",3796108004814,"x",0.63131446
"604",3796118001012,"x",0.65085226
"605",3796130475648,"x",0.7119078
"606",3796137472002,"x",0.78761667
"607",3796147700335,"x",0.85599893
"608",3796157527679,"x",0.9097278
"609",3796167428148,"x",0.9292656
"610",3796177052991,"x",0.86576784
"611",3796187427523,"x",0.7558678
"612",3796197006377,"x",0.6423045
"613",3796216807627,"x",0.41884112
"614",3796207197314,"x",0.52019334
"615",3796236656793,"x",0.45303226
"616",3796229426325,"x",0.3809867
"617",3796246981898,"x",0.59834445
"618",3796256516273,"x",0.7668578
"619",3796266465075,"x",0.9549089
"620",3796276374345,"x",1.1185378
"621",3796286278512,"x",1.2394278
"622",3796296220335,"x",1.3017045
"623",3796306120960,"x",1.29682
"624",3796316300075,"x",1.2345434
"625",3796328752887,"x",1.1527289
"626",3796335929710,"x",1.075799
"627",3796345827054,"x",0.97811
"628",3796355990804,"x",0.8437878
"629",3796366110856,"x",0.70580226
"630",3796376039606,"x",0.56659555
"631",3796385571429,"x",0.42861003
"632",3796395809189,"x",0.32237336
"633",3796405405700,"x",0.25277
"634",3796415741377,"x",0.19904111
"635",3796428461168,"x",0.15386
"636",3796435821689,"x",0.12089001
"637",3796445253772,"x",0.10379445
"638",3796455603720,"x",0.10745778
"639",3796465379970,"x",0.117226675
"640",3796475010022,"x",0.1306589
"641",3796485247366,"x",0.16973445
"642",3796495025335,"x",0.22712667
"643",3796505101689,"x",0.2759711
"644",3796515128772,"x",0.30649891
"645",3796527841741,"x",0.3370267
"646",3796534590127,"x",0.36511225
"647",3796544498200,"x",0.36999667
"648",3796554762679,"x",0.3602278
"649",3796564873772,"x",0.3260367
"650",3796574481377,"x",0.29062447
"651",3796584641272,"x",0.24300112
"652",3796594044762,"x",0.18683001
"653",3796604411168,"x",0.117226675
"654",3796614338825,"x",0.07204556
"655",3796626884241,"x",0.06716111
"656",3796634285283,"x",0.06716111
"657",3796644106481,"x",0.14653334
"658",3796654045543,"x",0.17950334
"659",3796664072731,"x",0.18927222
"660",3796673701272,"x",0.17584
"661",3796683413824,"x",0.12089001
"662",3796693647262,"x",0.057392225
"663",3796703511637,"x",-0.0012211112
"664",3796713443616,"x",-0.05372889
"665",3796725860752,"x",-0.08669889
"666",3796733331012,"x",-0.081814446
"667",3796743282939,"x",-0.042738892
"668",3796753343824,"x",0.009768889
"669",3796763277574,"x",0.057392225
"670",3796773002262,"x",0.058613338
"671",3796783220127,"x",0.047623336
"672",3796793102210,"x",0.007326667
"673",3796802589189,"x",-0.042738892
"674",3796812775543,"x",-0.064718895
"675",3796825602366,"x",-0.058613338
"676",3796832623512,"x",-0.028085556
"677",3796842617731,"x",0.025643334
"678",3796852300595,"x",0.078151114
"679",3796862215491,"x",0.14775445
"680",3796872124866,"x",0.19782001
"681",3796882060856,"x",0.2283478
"682",3796892070543,"x",0.2625389
"683",3796904935491,"x",0.29184556
"684",3796911940647,"x",0.30894113
"685",3796924667106,"x",0.33336335
"686",3796931873147,"x",0.37488112
"687",3796941961116,"x",0.41884112
"688",3796951539241,"x",0.46402225
"689",3796961899710,"x",0.48356003
"690",3796971819762,"x",0.48722336
"691",3796981755335,"x",0.47745445
"692",3796991680751,"x",0.44204223
"693",3797001631481,"x",0.37976557
"694",3797011548512,"x",0.3162678
"695",3797024099137,"x",0.24666445
"696",3797030995908,"x",0.17828223
"697",3797041001429,"x",0.11356334
"698",3797051009762,"x",0.06960334
"699",3797060812574,"x",0.08669889
"700",3797070987783,"x",0.13676445
"701",3797081043356,"x",0.18316667
"702",3797090732574,"x",0.21369445
"703",3797100903668,"x",0.21369445
"704",3797110418147,"x",0.1746189
"705",3797123566012,"x",0.15019667
"706",3797130260178,"x",0.123332225
"707",3797140619553,"x",0.081814446
"708",3797150510126,"x",0.045181114
"709",3797160430022,"x",0.036633335
"710",3797170352939,"x",-0.013432222
"711",3797179953876,"x",-0.123332225
"712",3797190011428,"x",-0.23323223
"713",3797199919137,"x",-0.33214223
"714",3797210041585,"x",-0.4273889
"715",3797222596481,"x",-0.5018767
"716",3797229693199,"x",-0.5873545
"717",3797239487783,"x",-0.6691689
"718",3797249755074,"x",-0.7631945
"719",3797259748668,"x",-0.85966223
"720",3797269351637,"x",-0.9426978
"721",3797279519137,"x",-1.0318389
"722",3797289438460,"x",-1.1112112
"723",3797299373616,"x",-1.1392968
"724",3797309297262,"x",-1.2125634
"725",3797321845647,"x",-1.3481067
"726",3797328875491,"x",-1.5141778
"727",3797338674970,"x",-1.7205456
"728",3797348646324,"x",-1.9476722
"729",3797358585074,"x",-2.1369445
"730",3797368455387,"x",-2.294468
"731",3797378792730,"x",-2.4190211
"732",3797388338564,"x",-2.5191524
"733",3797398674710,"x",-2.633937
"734",3797408521585,"x",-2.8000078
"735",3797421150647,"x",-2.9795113
"736",3797428241428,"x",-3.0930746
"737",3797438393408,"x",-3.174889
"738",3797447915855,"x",-3.2615879
"739",3797457851585,"x",-3.3788147
"740",3797467774658,"x",-3.4459758
"741",3797477706637,"x",-3.350729
"742",3797487620335,"x",-3.0845268
"743",3797497564397,"x",-2.6180623
"744",3797507514866,"x",-2.0160546
"745",3797520148147,"x",-1.3810767
"746",3797527388355,"x",-0.7778478
"747",3797537278355,"x",-0.30894113
"748",3797547601012,"x",-0.06227667
"749",3797557117574,"x",0.035412222
"750",3797567520491,"x",0.06349778
"751",3797576963876,"x",0.045181114
"752",3797587313668,"x",0.0048844446
"753",3797597125335,"x",-0.07204556
"754",3797607177157,"x",-0.18316667
"755",3797619830543,"x",-0.26864445
"756",3797626944710,"x",-0.37976557
"757",3797636560022,"x",-0.47501224
"758",3797646902314,"x",-0.54095227
"759",3797656833407,"x",-0.5556056
"760",3797666743095,"x",-0.5250778
"761",3797676679553,"x",-0.44692668
"762",3797686610387,"x",-0.26009667
