Device,Trip,starttime,Time,LaneDistanceRight,Flying_Overtake
10173,122,195440,1600,3.136719,0
10173,122,195440,1610,3.238281,0
10173,122,195440,1620,3.339844,0
10173,122,195440,1630,3.375,0
10173,122,195440,1640,3.429688,0
10173,122,195440,1650,3.492188,0
10173,122,195440,1660,0.2226563,0
10173,122,195440,1670,0.2382813,0
10173,122,195440,1680,0.2773438,0
10173,122,195440,1690,0.4140625,0
10173,122,195440,1700,0.484375,0
10173,122,195440,1710,0.5546875,0
10173,122,195440,1720,0.6679688,0
10173,122,195440,1730,0.7382813,0
10173,122,195440,1740,0.8164063,0
10173,122,195440,1750,0.9570313,0
10173,122,195440,1760,1.058594,0
10173,122,195440,1770,1.132813,0
10173,122,195440,1780,1.261719,0
10173,122,195440,1790,1.316406,0
10173,122,195440,1800,1.363281,0
10173,122,195440,1810,1.46875,0
10173,122,195440,1820,1.511719,0
10173,122,195440,1830,1.554688,0
10173,122,195440,1840,1.613281,0
10173,122,195440,1850,1.636719,0
10173,122,195440,1860,1.664063,0
10173,122,195440,1870,1.710938,0
10173,122,195440,1880,1.730469,0
10173,122,195440,1890,1.734375,0
10173,122,195440,1900,1.746094,0
10173,122,195440,1910,1.746094,0
10173,122,195440,1920,1.75,0
10173,122,195440,1930,1.742188,0
10173,122,195440,1940,1.710938,0
10173,122,195440,1950,1.664063,0
10173,122,195440,1960,1.675781,0
10173,122,195440,1970,1.617188,0
10173,122,195440,1980,1.582031,0
10173,122,195440,1990,1.542969,0
10173,122,195440,2000,1.464844,0
10173,122,195440,2010,1.4375,0
10173,122,195440,2020,1.40625,0
10173,122,195440,2030,1.339844,0
10173,122,195440,2040,1.308594,0
10173,122,195440,2050,1.300781,0
10173,122,195440,2060,1.246094,0
10173,122,195440,2070,1.21875,0
10173,122,195440,2080,1.195313,0
10173,122,195440,2090,1.171875,0
10173,122,195440,2100,1.109375,0
10173,122,195440,2110,1.082031,0
10173,122,195440,2120,1.03125,0
10173,122,195440,2130,1.015625,0
10173,122,195440,2140,1.003906,0
10173,122,195440,2150,0.9882813,0
10173,122,195440,2160,0.984375,0
10173,122,195440,2170,0.9882813,0
10173,122,195440,2180,1,0
10173,122,195440,2190,1.023438,0
10173,122,195440,2200,1.027344,0
10173,122,195440,2210,1.027344,0
10173,122,195440,2220,1.027344,0
10173,122,195440,2230,1.0625,0
10173,122,195440,2240,1.074219,0
10173,122,195440,2250,1.101563,0
10173,122,195440,2260,1.085938,0
10173,122,195440,2270,1.132813,0
10173,122,195440,2280,1.140625,0
10173,122,195440,2290,1.164063,0
10173,122,195440,2300,1.171875,0
10173,122,195440,2310,1.253906,0
10173,122,195440,2320,1.296875,0
10173,122,195440,2330,1.335938,0
10173,122,195440,2340,1.429688,0
10173,122,195440,2350,1.457031,0
10173,122,195440,2360,1.492188,0
10173,122,195440,2370,1.535156,0
10173,122,195440,2380,1.578125,0
10173,122,195440,2390,1.59375,0
10173,122,195440,2400,1.621094,0
10173,122,195440,2410,1.703125,0
10173,122,195440,2420,1.726563,0
10173,122,195440,2430,1.753906,0
10173,122,195440,2440,1.769531,0
10173,122,195440,2450,1.792969,0
10173,122,195440,2460,1.816406,0
10173,122,195440,2470,1.855469,0
10173,122,195440,2480,1.890625,0
10173,122,195440,2490,1.902344,0
10173,122,195440,2500,1.914063,0
10173,122,195440,2510,1.929688,0
10173,122,195440,2520,1.976563,0
10173,122,195440,2530,1.972656,0
10173,122,195440,2540,1.988281,0
10173,122,195440,2550,1.984375,0
10173,122,195440,2560,1.992188,0
10173,122,195440,2570,2.011719,0
10173,122,195440,2580,2.023438,0
10173,122,195440,2590,2.007813,0
10173,122,195440,2600,2.03125,0
10173,122,195440,2610,2.042969,0
10173,122,195440,2620,2.046875,0
10173,122,195440,2630,2.050781,0
10173,122,195440,2640,2.050781,0
10173,122,195440,2650,2.039063,0
10173,122,195440,2660,2.0625,0
10173,122,195440,2670,2.082031,0
10173,122,195440,2680,2.0625,0
10173,122,195440,2690,2.0625,0
10173,122,195440,2700,2.0625,0
10173,122,195440,2710,2.070313,0
10173,122,195440,2720,2.070313,0
10173,122,195440,2730,2.082031,0
10173,122,195440,2740,2.085938,0
10173,122,195440,2750,2.09375,0
10173,122,195440,2760,2.125,0
10173,122,195440,2770,2.160156,0
10173,122,195440,2780,2.148438,0
10173,122,195440,2790,2.144531,0
10173,122,195440,2800,2.164063,0
10173,122,195440,2810,2.238281,0
10173,122,195440,2820,2.265625,0
10173,122,195440,2830,2.238281,0
10173,122,195440,2840,2.265625,0
10173,122,195440,2850,2.308594,0
10173,122,195440,2860,2.367188,0
10173,122,195440,2870,2.386719,0
10173,122,195440,2880,2.40625,0
10173,122,195440,2890,2.457031,0
10173,122,195440,2900,2.402344,0
10173,122,195440,2910,2.414063,0
10173,122,195440,2920,2.433594,0
10173,122,195440,2930,2.476563,0
10173,122,195440,2940,2.5,0
10173,122,195440,2950,2.460938,0
10173,122,195440,2960,2.519531,0
10173,122,195440,2970,2.503906,0
10173,122,195440,2980,2.609375,0
10173,122,195440,2990,2.457031,0
10173,122,195440,3000,2.570313,0
10173,122,195440,3010,2.601563,0
10173,122,195440,3020,2.617188,0
10173,122,195440,3030,2.476563,0
10173,122,195440,3040,2.519531,0
10173,122,195440,3050,2.570313,0
10173,122,195440,3060,2.632813,0
10173,122,195440,3070,2.628906,0
10173,122,195440,3080,2.636719,0
10173,122,195440,3090,2.652344,0
10173,122,195440,3100,2.695313,0
10173,122,195440,3110,2.726563,0
10173,122,195440,3120,2.765625,0
10173,122,195440,3130,2.859375,0
10173,122,195440,3140,2.851563,0
10173,122,195440,3150,2.859375,0
10173,122,195440,3160,2.894531,0
10173,122,195440,3170,2.917969,0
10173,122,195440,3180,2.925781,0
10173,122,195440,3190,2.921875,0
10173,122,195440,3200,3.003906,0
10173,122,195440,3210,2.996094,0
10173,122,195440,3220,2.980469,0
10173,122,195440,3230,2.941406,0
10173,122,195440,3240,1.875,0
10173,122,195440,3250,1.875,0
10173,122,195440,3260,1.875,0
10173,122,195440,3270,1.875,0
10173,122,195440,3280,1.875,0
10173,122,195440,3290,1.875,0
10173,122,195440,3300,1.875,0
10173,122,195440,3310,1.875,0
10173,122,195440,3320,0.6015625,0
10173,122,195440,3330,0.5117188,0
10173,122,195440,3340,0.4140625,0
10173,122,195440,3350,0.359375,0
10173,122,195440,3360,0.3359375,0
10173,122,195440,3370,2.375,0
10173,122,195440,3380,2.347656,0
10173,122,195440,3390,2.230469,0
10173,122,195440,3400,2.214844,0
10173,122,195440,3410,2.179688,0
10173,122,195440,3420,2.167969,0
10173,122,195440,3430,2.15625,0
10173,122,195440,3440,2.15625,0
10173,122,195440,3450,2.144531,0
10173,122,195440,3460,2.136719,0
10173,122,195440,3470,2.128906,0
10173,122,195440,3480,2.128906,0
10173,122,195440,3490,2.117188,0
10173,122,195440,3500,2.089844,0
10173,122,195440,3510,2.078125,0
10173,122,195440,3520,2.050781,0
10173,122,195440,3530,2.011719,0
10173,122,195440,3540,1.964844,0
10173,122,195440,3550,1.957031,0
10173,122,195440,3560,1.96875,0
10173,122,195440,3570,1.929688,0
10173,122,195440,3580,1.917969,0
10173,122,195440,3590,1.9375,0
10173,122,195440,3600,1.894531,0
10173,122,195440,3610,1.875,0
10173,122,195440,3620,1.882813,0
10173,122,195440,3630,1.878906,0
10173,122,195440,3640,1.871094,0
10173,122,195440,3650,1.867188,0
10173,122,195440,3660,1.863281,0
10173,122,195440,3670,1.859375,0
10173,122,195440,3680,1.863281,0
10173,122,195440,3690,1.855469,0
10173,122,195440,3700,1.832031,0
10173,122,195440,3710,1.835938,0
10173,122,195440,3720,1.835938,0
10173,122,195440,3730,1.832031,0
10173,122,195440,3740,1.808594,0
10173,122,195440,3750,1.792969,0
10173,122,195440,3760,1.777344,0
10173,122,195440,3770,1.742188,0
10173,122,195440,3780,1.734375,0
10173,122,195440,3790,1.734375,0
10173,122,195440,3800,1.75,0
10173,122,195440,3810,1.757813,0
10173,122,195440,3820,1.746094,0
10173,122,195440,3830,1.726563,0
10173,122,195440,3840,1.71875,0
10173,122,195440,3850,1.710938,0
10173,122,195440,3860,1.695313,0
10173,122,195440,3870,1.679688,0
10173,122,195440,3880,1.671875,0
10173,122,195440,3890,1.664063,0
10173,122,195440,3900,1.648438,0
10173,122,195440,3910,1.621094,0
10173,122,195440,3920,1.601563,0
10173,122,195440,3930,1.597656,0
10173,122,195440,3940,1.59375,0
10173,122,195440,3950,1.554688,0
10173,122,195440,3960,1.542969,0
10173,122,195440,3970,1.53125,0
10173,122,195440,3980,1.503906,0
10173,122,195440,3990,1.492188,0
10173,122,195440,4000,1.472656,0
10173,122,195440,4010,1.464844,0
10173,122,195440,4020,1.484375,0
10173,122,195440,4030,1.496094,0
10173,122,195440,4040,1.488281,0
10173,122,195440,4050,1.480469,0
10173,122,195440,4060,1.472656,0
10173,122,195440,4070,1.46875,0
10173,122,195440,4080,1.4375,0
10173,122,195440,4090,1.464844,0
10173,122,195440,4100,1.5,0
10173,122,195440,4110,1.515625,0
10173,122,195440,4120,1.503906,0
10173,122,195440,4130,1.488281,0
10173,122,195440,4140,1.484375,0
10173,122,195440,4150,1.507813,0
10173,122,195440,4160,1.507813,0
10173,122,195440,4170,1.507813,0
10173,122,195440,4180,1.511719,0
10173,122,195440,4190,1.539063,0
10173,122,195440,4200,1.535156,0
10173,122,195440,4210,1.542969,0
10173,122,195440,4220,1.550781,0
10173,122,195440,4230,1.625,0
10173,122,195440,4240,1.640625,0
10173,122,195440,4250,1.652344,0
10173,122,195440,4260,1.679688,0
10173,122,195440,4270,1.6875,0
10173,122,195440,4280,1.714844,0
10173,122,195440,4290,1.75,0
10173,122,195440,4300,1.765625,0
10173,122,195440,4310,1.8125,0
10173,122,195440,4320,1.847656,0
10173,122,195440,4330,1.855469,0
10173,122,195440,4340,1.867188,0
10173,122,195440,4350,1.929688,0
10173,122,195440,4360,1.945313,0
10173,122,195440,4370,1.949219,0
10173,122,195440,4380,1.957031,0
10173,122,195440,4390,2.015625,0
10173,122,195440,4400,2.007813,0
10173,122,195440,4410,2.007813,0
10173,122,195440,4420,2.011719,0
10173,122,195440,4430,2.039063,0
10173,122,195440,4440,2.066406,0
10173,122,195440,4450,2.0625,0
10173,122,195440,4460,2.070313,0
10173,122,195440,4470,2.074219,0
10173,122,195440,4480,2.0625,0
10173,122,195440,4490,2.066406,0
10173,122,195440,4500,2.074219,0
10173,122,195440,4510,2.101563,0
10173,122,195440,4520,2.101563,0
10173,122,195440,4530,2.082031,0
10173,122,195440,4540,2.113281,0
10173,122,195440,4550,2.121094,0
10173,122,195440,4560,2.121094,0
10173,122,195440,4570,2.171875,0
10173,122,195440,4580,2.121094,0
10173,122,195440,4590,2.15625,0
10173,122,195440,4600,2.140625,0
10173,122,195440,4610,2.15625,0
10173,122,195440,4620,2.171875,0
10173,122,195440,4630,2.1875,0
10173,122,195440,4640,2.183594,0
10173,122,195440,4650,2.203125,0
10173,122,195440,4660,2.210938,0
10173,122,195440,4670,2.214844,0
10173,122,195440,4680,2.210938,0
10173,122,195440,4690,2.207031,0
10173,122,195440,4700,2.203125,0
10173,122,195440,4710,2.195313,0
10173,122,195440,4720,2.167969,0
10173,122,195440,4730,2.152344,0
10173,122,195440,4740,2.117188,0
10173,122,195440,4750,2.109375,0
10173,122,195440,4760,2.097656,0
10173,122,195440,4770,2.085938,0
10173,122,195440,4780,2.082031,0
10173,122,195440,4790,2.082031,0
10173,122,195440,4800,2.074219,0
10173,122,195440,4810,2.070313,0
10173,122,195440,4820,2.0625,0
10173,122,195440,4830,2.039063,0
10173,122,195440,4840,2.019531,0
10173,122,195440,4850,2.003906,0
10173,122,195440,4860,2.011719,0
10173,122,195440,4870,1.96875,0
10173,122,195440,4880,1.96875,0
10173,122,195440,4890,1.980469,0
10173,122,195440,4900,2.007813,0
10173,122,195440,4910,2.015625,0
10173,122,195440,4920,2.003906,0
10173,122,195440,4930,2.003906,0
